,petal_id,petal_loc,offset_x,offset_y,offset_z,rotation_x,rotation_y,rotation_z,rotation_z_deg,least_square_residual
0,2,7,-1.188500762776288e-06,3.468284823648263e-07,9.620236134745282e-09,4.219340736767013e-06,-1.430318411110731e-05,2.513274016270638,143.99999389220136,1.4952226272247443e-05
1,3,3,7.612660482616106e-07,2.801640807856117e-07,3.222011901757391e-08,5.582488437069269e-06,-1.7313709279847486e-05,-2.1033687698710105e-07,-1.205141532732326e-05,1.0709802178743946e-05
2,4,0,2.02306374169384e-08,-7.430652054306621e-07,1.2264223738448647e-08,3.952172689064059e-06,-1.0557301210900801e-05,-1.8849555461640362,-107.99999736497628,8.723368388556545e-06
3,5,1,9.386950280264329e-08,-1.6222322905669074e-07,4.448119278526787e-08,5.525873782916903e-06,-1.4477647789810905e-05,-1.2566372029241692,-72.00000810667969,5.507569893131561e-06
4,6,2,4.1251577553312356e-07,-1.9993823046878068e-07,3.2643196035124285e-08,5.517531918602266e-06,-1.356696467323981e-05,-0.6283184672923497,-35.9999963659803,7.263838634811487e-06
5,7,8,-3.2705241256291634e-06,-1.1217834448504923e-06,-4.683703930548084e-08,6.520091387143215e-06,-1.808317031722219e-05,3.141593239315825,180.00003355962957,9.807450756815003e-06
6,8,4,-2.907531766398791e-09,-1.48042275766281e-07,4.726494196782096e-08,5.613646966957815e-06,-1.3241621904702047e-05,0.6283184595283227,35.999995921134314,4.404867710450612e-06
7,9,9,-4.599587181089394e-07,-7.582000505843195e-07,2.210778118094042e-08,4.328494899079451e-06,-1.5355518518665512e-05,3.7699113103448876,216.00000722139595,1.2464662903835148e-05
8,10,5,-4.2335467663017966e-08,1.6078837088180844e-06,1.1667151333116822e-08,6.461602884632461e-06,-1.855133494512703e-05,1.2566366640457447,71.9999772312203,1.1658073880765413e-05
9,11,6,-8.907110478306501e-07,1.5653485868304003e-06,3.300266485891802e-08,1.2116730278875167e-05,-2.3932244497652776e-05,1.8849561585519787,108.00003245222082,1.137739364058005e-05
